Date,2330.TW,2303.TW,2454.TW,2317.TW
2017-08-15,186.22109985351562,11.254911422729492,218.64450073242188,116.92987060546875
2017-08-16,185.35092163085938,11.21500015258789,219.8524627685547,116.4236831665039
2017-08-17,186.22109985351562,11.294821739196777,219.04714965820312,117.43607330322266
2017-08-18,184.9158172607422,11.254911422729492,215.4232177734375,116.92987060546875
2017-08-21,184.04562377929688,11.294821739196777,219.04714965820312,116.4236831665039
2017-08-22,186.6562042236328,11.414554595947266,217.8391876220703,116.4236831665039
2017-08-23,187.52638244628906,11.334733009338379,218.2418212890625,116.4236831665039
2017-08-24,188.83169555664062,11.933399200439453,219.8524627685547,117.43607330322266
2017-08-25,189.2667999267578,11.893486976623535,216.63119506835938,117.43607330322266
2017-08-28,187.9614715576172,11.893486976623535,218.64450073242188,116.92987060546875
2017-08-29,187.9614715576172,11.893486976623535,215.0205535888672,116.92987060546875
2017-08-30,189.2667999267578,11.853575706481934,216.228515625,118.95463562011719
2017-08-31,188.3965606689453,12.01322078704834,217.8391876220703,118.95463562011719
2017-09-01,188.3965606689453,12.811439514160156,219.04714965820312,118.95463562011719
2017-09-04,189.2667999267578,13.170639991760254,218.2418212890625,117.9422607421875
2017-09-05,189.70187377929688,13.170639991760254,225.08706665039062,117.9422607421875
2017-09-06,188.83169555664062,12.811439514160156,218.64450073242188,116.92987060546875
2017-09-07,188.83169555664062,13.010995864868164,219.44981384277344,116.92987060546875
2017-09-08,189.70187377929688,12.971085548400879,221.06044006347656,118.44845581054688
2017-09-11,188.83169555664062,12.811439514160156,224.6844024658203,117.43607330322266
2017-09-12,190.5720977783203,12.691706657409668,221.8657684326172,118.44845581054688
2017-09-13,189.70187377929688,12.532062530517578,221.46311950683594,116.92987060546875
2017-09-14,190.13697814941406,12.691706657409668,231.126953125,115.9175033569336
2017-09-15,190.13697814941406,12.412330627441406,235.15354919433594,116.4236831665039
2017-09-18,191.00717163085938,12.691706657409668,235.55621337890625,115.41129302978516
2017-09-19,192.74757385253906,12.771530151367188,235.9588623046875,111.36178588867188
2017-09-20,192.74757385253906,12.492152214050293,233.5429229736328,107.8184585571289
2017-09-21,192.3124542236328,12.651796340942383,236.3615264892578,112.3741683959961
2017-09-22,190.13697814941406,12.372419357299805,230.32167053222656,109.3370361328125
2017-09-25,188.83169555664062,12.132953643798828,229.9189453125,106.29988861083984
2017-09-26,186.22109985351562,12.17286491394043,227.10035705566406,104.78131866455078
2017-09-27,187.09129333496094,12.17286491394043,231.52960205078125,106.29988861083984
2017-09-28,186.22109985351562,12.33250904083252,234.34820556640625,105.79369354248047
2017-09-29,188.3965606689453,12.093040466308594,229.11366271972656,106.29988861083984
2017-10-02,191.87734985351562,12.093040466308594,231.93226623535156,108.32464599609375
2017-10-03,193.61773681640625,12.611886024475098,231.93226623535156,107.31226348876953
2017-10-05,195.35812377929688,12.532062530517578,229.5163116455078,107.31226348876953
2017-10-06,195.35812377929688,12.412330627441406,234.34820556640625,107.8184585571289
2017-10-11,202.7547607421875,12.611886024475098,246.42803955078125,108.32464599609375
2017-10-12,206.670654296875,12.691706657409668,244.41473388671875,109.3370361328125
2017-10-13,206.670654296875,12.731618881225586,259.3132019042969,109.3370361328125
2017-10-16,207.10574340820312,12.731618881225586,262.5344543457031,110.85560607910156
2017-10-17,204.93023681640625,12.691706657409668,258.5078430175781,111.86798095703125
2017-10-18,206.670654296875,12.731618881225586,253.2732696533203,112.8803482055664
2017-10-19,207.97592163085938,12.492152214050293,254.88388061523438,114.39892578125
2017-10-20,206.670654296875,12.412330627441406,252.0653076171875,113.38655090332031
2017-10-23,207.97592163085938,12.452241897583008,258.1051940917969,110.85560607910156
2017-10-24,207.10574340820312,12.412330627441406,258.9105224609375,110.85560607910156
2017-10-25,207.10574340820312,12.372419357299805,264.14508056640625,112.3741683959961
2017-10-26,205.36534118652344,12.412330627441406,272.6009521484375,111.86798095703125
2017-10-27,207.97592163085938,12.33250904083252,265.7557678222656,111.36178588867188
2017-10-30,211.4566650390625,12.611886024475098,269.3796691894531,112.8803482055664
2017-10-31,211.4566650390625,12.372419357299805,275.8222351074219,113.38655090332031
2017-11-01,211.0215606689453,12.372419357299805,272.19830322265625,113.38655090332031
2017-11-02,209.71627807617188,12.372419357299805,270.587646484375,113.8927230834961
2017-11-03,207.97592163085938,12.33250904083252,269.7823486328125,114.39892578125
2017-11-06,208.41099548339844,12.17286491394043,264.14508056640625,114.39892578125
2017-11-07,212.32687377929688,12.292596817016602,271.7956848144531,113.38655090332031
2017-11-08,211.0215606689453,12.252686500549316,270.9903259277344,112.3741683959961
2017-11-09,209.71627807617188,12.532062530517578,266.56103515625,109.84321594238281
2017-11-10,209.2812042236328,12.651796340942383,262.5344543457031,108.83084106445312
2017-11-13,208.41099548339844,12.492152214050293,255.68927001953125,108.32464599609375
2017-11-14,208.8460693359375,12.571974754333496,262.5344543457031,107.31226348876953
2017-11-15,206.670654296875,12.452241897583008,259.3132019042969,104.27513122558594
2017-11-16,207.10574340820312,12.452241897583008,258.1051940917969,105.28751373291016
2017-11-17,210.15139770507812,12.492152214050293,265.3530578613281,106.80607604980469
2017-11-20,207.54083251953125,12.691706657409668,257.7025451660156,105.28751373291016
2017-11-21,211.4566650390625,12.891263008117676,259.3132019042969,105.28751373291016
2017-11-22,210.58648681640625,12.85135269165039,263.3397521972656,105.28751373291016
2017-11-23,211.0215606689453,12.731618881225586,263.3397521972656,107.31226348876953
2017-11-24,212.32687377929688,12.731618881225586,262.5344543457031,105.79369354248047
